20 175 4 5
patients: ID surgeon priority leader_priority duration
0 3 6
1 12 3
2 7 7
3 15 4
4 7 11
5 19 7
6 14 3
7 12 5
8 2 3
9 15 5
10 9 3
11 6 14
12 14 1
13 8 4
14 19 3
15 3 8
16 7 14
17 10 3
18 15 10
19 18 11
20 12 5
21 2 10
22 18 18
23 13 7
24 8 10
25 3 1
26 14 3
27 16 6
28 17 6
29 9 7
30 5 7
31 12 4
32 7 13
33 5 14
34 19 3
35 18 13
36 16 11
37 3 7
38 12 3
39 19 1
40 14 6
41 10 5
42 9 11
43 18 8
44 1 18
45 0 15
46 4 12
47 1 5
48 13 12
49 16 2
50 4 13
51 3 11
52 18 5
53 2 6
54 7 13
55 8 2
56 15 5
57 14 3
58 9 3
59 15 5
60 11 7
61 10 1
62 5 1
63 13 10
64 2 3
65 11 5
66 4 6
67 11 8
68 14 4
69 16 10
70 16 2
71 2 12
72 17 10
73 19 7
74 7 5
75 2 4
76 0 4
77 8 4
78 6 14
79 10 15
80 12 3
81 15 6
82 18 1
83 16 4
84 17 3
85 4 1
86 13 10
87 7 3
88 16 10
89 11 7
90 6 1
91 4 9
92 11 10
93 17 2
94 11 1
95 5 4
96 19 1
97 0 1
98 4 5
99 0 4
100 5 24
101 11 7
102 19 5
103 4 3
104 0 4
105 10 6
106 18 6
107 16 12
108 16 10
109 0 1
110 4 6
111 16 3
112 18 7
113 15 14
114 10 5
115 4 15
116 6 3
117 1 5
118 1 6
119 0 3
120 2 10
121 18 3
122 5 1
123 9 5
124 2 6
125 17 6
126 9 18
127 13 10
128 8 6
129 11 5
130 15 6
131 13 3
132 1 2
133 13 6
134 15 5
135 1 18
136 3 6
137 12 5
138 9 5
139 12 14
140 1 5
141 11 6
142 8 2
143 11 11
144 12 6
145 1 7
146 5 9
147 8 6
148 8 6
149 7 11
150 12 3
151 6 3
152 8 3
153 6 3
154 3 12
155 0 6
156 19 6
157 5 3
158 1 3
159 10 3
160 16 8
161 9 11
162 6 7
163 13 6
164 3 5
165 8 6
166 15 8
167 12 4
168 1 3
169 18 4
170 11 14
171 2 4
172 11 5
173 16 6
174 14 7
ORS: day OR start end
0 0 0 32
0 1 0 32
0 2 0 32
0 3 0 32
1 0 0 32
1 1 0 32
1 2 0 32
1 3 0 32
2 0 0 32
2 1 0 32
2 2 0 32
2 3 0 32
3 0 0 32
3 1 0 32
3 2 0 32
3 3 0 32
4 0 0 32
4 1 0 32
4 2 0 32
4 3 0 32
start times:
0 8 16 24
end times:
8 16 24 32
load:
1.7953125
